Timestamp,How Challenging was the match? (1-5),How engaged were you during play? (1-5),How much did you enjoy playing? (1-5),How well balanced was the game's difficulty? (1-5),Did you notice anything strange during the match?
2023/05/22 3:20:05 pm EEST,4,2,2,2,No
2023/05/22 4:32:46 pm EEST,2,4,4,4,No
2023/05/22 5:15:38 pm EEST,2,5,5,2,Yes
2023/05/22 6:09:50 pm EEST,1,5,5,1,Yes
2023/05/22 6:49:00 pm EEST,2,5,5,2,No
2023/05/22 8:24:11 pm EEST,3,5,4,3,No
2023/05/22 8:40:32 pm EEST,2,4,5,3,No
2023/05/22 9:28:06 pm EEST,2,5,5,2,No
2023/05/23 9:28:56 am EEST,3,5,5,3,No
2023/05/23 10:15:50 am EEST,4,5,5,4,No
2023/05/23 10:58:29 am EEST,3,5,5,4,No
2023/05/23 11:59:27 am EEST,2,2,3,2,No
2023/05/23 12:37:36 pm EEST,2,4,4,3,No
2023/05/23 7:37:38 pm EEST,2,4,3,2,No
2023/05/23 8:11:21 pm EEST,2,4,4,2,No
2023/05/23 9:18:53 pm EEST,4,4,4,3,No
2023/05/24 8:52:54 pm EEST,4,4,4,4,No
2023/05/24 9:19:43 pm EEST,2,3,4,2,No
2023/05/25 2:34:58 pm EEST,3,4,4,3,No
